,Plan_Name,URL,Sponsor_Name,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,CHILDREN'S HOSPITAL MEDICAL CENTER RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/519500/Childrens-Hospital-Medical-Center/13914212/Childrens-Hospital-Medical-Center-Retirement-Plan/2018/,Children's Hospital Medical Center,01/01/2018 — 12/31/2018,01/01/1961,"$1,276,884,912",1,Single Employer,No,Yes,Trust,Trust,"12,259","1,413","5,728","19,400",115,"19,515","19,959",0,579,$0,$0,$0,$0,$0,$0,"3333 Burnet Avenue, Mlc 4900 ",Cincinnati,OH,45229-3039,(513) 636-8778,31-0833936,622000,Western Asset Management Company,Investment management,NONE,"$547,596",$0,"$547,596"
1,CHILDREN'S HOSPITAL MEDICAL CENTER RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/519500/Childrens-Hospital-Medical-Center/13914212/Childrens-Hospital-Medical-Center-Retirement-Plan/2018/,Children's Hospital Medical Center,01/01/2018 — 12/31/2018,01/01/1961,"$1,276,884,912",1,Single Employer,No,Yes,Trust,Trust,"12,259","1,413","5,728","19,400",115,"19,515","19,959",0,579,$0,$0,$0,$0,$0,$0,"3333 Burnet Avenue, Mlc 4900 ",Cincinnati,OH,45229-3039,(513) 636-8778,31-0833936,622000,Eagle Point Credit Management LLC,"Investment management, Other fees",NONE,"$465,145",$0,"$465,145"
2,CHILDREN'S HOSPITAL MEDICAL CENTER RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/519500/Childrens-Hospital-Medical-Center/13914212/Childrens-Hospital-Medical-Center-Retirement-Plan/2018/,Children's Hospital Medical Center,01/01/2018 — 12/31/2018,01/01/1961,"$1,276,884,912",1,Single Employer,No,Yes,Trust,Trust,"12,259","1,413","5,728","19,400",115,"19,515","19,959",0,579,$0,$0,$0,$0,$0,$0,"3333 Burnet Avenue, Mlc 4900 ",Cincinnati,OH,45229-3039,(513) 636-8778,31-0833936,622000,Blackrock Institutional Trust Co,"Trustee (bank, trust company, or similar financial institution), Trustee (discretionary), Investment management, Direct payment from the plan, Investment management fees paid directly by plan",NONE,"$182,661",$0,"$182,661"
3,CHILDREN'S HOSPITAL MEDICAL CENTER RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/519500/Childrens-Hospital-Medical-Center/13914212/Childrens-Hospital-Medical-Center-Retirement-Plan/2018/,Children's Hospital Medical Center,01/01/2018 — 12/31/2018,01/01/1961,"$1,276,884,912",1,Single Employer,No,Yes,Trust,Trust,"12,259","1,413","5,728","19,400",115,"19,515","19,959",0,579,$0,$0,$0,$0,$0,$0,"3333 Burnet Avenue, Mlc 4900 ",Cincinnati,OH,45229-3039,(513) 636-8778,31-0833936,622000,Wellington Trust,Investment management fees paid directly by plan,NONE,"$170,204",$0,"$170,204"
4,CHILDREN'S HOSPITAL MEDICAL CENTER RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/519500/Childrens-Hospital-Medical-Center/13914212/Childrens-Hospital-Medical-Center-Retirement-Plan/2018/,Children's Hospital Medical Center,01/01/2018 — 12/31/2018,01/01/1961,"$1,276,884,912",1,Single Employer,No,Yes,Trust,Trust,"12,259","1,413","5,728","19,400",115,"19,515","19,959",0,579,$0,$0,$0,$0,$0,$0,"3333 Burnet Avenue, Mlc 4900 ",Cincinnati,OH,45229-3039,(513) 636-8778,31-0833936,622000,"Tpg Sixth Street Partners, LLC","Investment management fees paid directly by plan, Investment management, Other investment fees and expenses",NONE,"$157,181",$0,"$157,181"
5,CHILDREN'S HOSPITAL MEDICAL CENTER RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/519500/Childrens-Hospital-Medical-Center/13914212/Childrens-Hospital-Medical-Center-Retirement-Plan/2018/,Children's Hospital Medical Center,01/01/2018 — 12/31/2018,01/01/1961,"$1,276,884,912",1,Single Employer,No,Yes,Trust,Trust,"12,259","1,413","5,728","19,400",115,"19,515","19,959",0,579,$0,$0,$0,$0,$0,$0,"3333 Burnet Avenue, Mlc 4900 ",Cincinnati,OH,45229-3039,(513) 636-8778,31-0833936,622000,"Nb Dyal Advisors, LLC",Investment management fees paid indirectly by plan,NONE,$0,"$149,739","$149,739"
6,CHILDREN'S HOSPITAL MEDICAL CENTER RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/519500/Childrens-Hospital-Medical-Center/13914212/Childrens-Hospital-Medical-Center-Retirement-Plan/2018/,Children's Hospital Medical Center,01/01/2018 — 12/31/2018,01/01/1961,"$1,276,884,912",1,Single Employer,No,Yes,Trust,Trust,"12,259","1,413","5,728","19,400",115,"19,515","19,959",0,579,$0,$0,$0,$0,$0,$0,"3333 Burnet Avenue, Mlc 4900 ",Cincinnati,OH,45229-3039,(513) 636-8778,31-0833936,622000,USRA,Investment management fees paid indirectly by plan,NONE,$0,"$132,225","$132,225"
7,CHILDREN'S HOSPITAL MEDICAL CENTER RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/519500/Childrens-Hospital-Medical-Center/13914212/Childrens-Hospital-Medical-Center-Retirement-Plan/2018/,Children's Hospital Medical Center,01/01/2018 — 12/31/2018,01/01/1961,"$1,276,884,912",1,Single Employer,No,Yes,Trust,Trust,"12,259","1,413","5,728","19,400",115,"19,515","19,959",0,579,$0,$0,$0,$0,$0,$0,"3333 Burnet Avenue, Mlc 4900 ",Cincinnati,OH,45229-3039,(513) 636-8778,31-0833936,622000,"True North Management Group, LLC",Investment advisory (plan),NONE,$0,"$98,420","$98,420"
8,CHILDREN'S HOSPITAL MEDICAL CENTER RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/519500/Childrens-Hospital-Medical-Center/13914212/Childrens-Hospital-Medical-Center-Retirement-Plan/2018/,Children's Hospital Medical Center,01/01/2018 — 12/31/2018,01/01/1961,"$1,276,884,912",1,Single Employer,No,Yes,Trust,Trust,"12,259","1,413","5,728","19,400",115,"19,515","19,959",0,579,$0,$0,$0,$0,$0,$0,"3333 Burnet Avenue, Mlc 4900 ",Cincinnati,OH,45229-3039,(513) 636-8778,31-0833936,622000,Bny Mellon Investment Mgmt Cayman,Investment management fees paid directly by plan,NONE,"$80,354",$0,"$80,354"
9,CHILDREN'S HOSPITAL MEDICAL CENTER RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/519500/Childrens-Hospital-Medical-Center/13914212/Childrens-Hospital-Medical-Center-Retirement-Plan/2018/,Children's Hospital Medical Center,01/01/2018 — 12/31/2018,01/01/1961,"$1,276,884,912",1,Single Employer,No,Yes,Trust,Trust,"12,259","1,413","5,728","19,400",115,"19,515","19,959",0,579,$0,$0,$0,$0,$0,$0,"3333 Burnet Avenue, Mlc 4900 ",Cincinnati,OH,45229-3039,(513) 636-8778,31-0833936,622000,Prudential Trust Co.,Investment management,NONE,"$59,317",$0,"$59,317"
10,CHILDREN'S HOSPITAL MEDICAL CENTER RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/519500/Childrens-Hospital-Medical-Center/13914212/Childrens-Hospital-Medical-Center-Retirement-Plan/2018/,Children's Hospital Medical Center,01/01/2018 — 12/31/2018,01/01/1961,"$1,276,884,912",1,Single Employer,No,Yes,Trust,Trust,"12,259","1,413","5,728","19,400",115,"19,515","19,959",0,579,$0,$0,$0,$0,$0,$0,"3333 Burnet Avenue, Mlc 4900 ",Cincinnati,OH,45229-3039,(513) 636-8778,31-0833936,622000,Mondrian Investment Group (U.S.),Investment management,NONE,"$33,750",$0,"$33,750"
11,CHILDREN'S HOSPITAL MEDICAL CENTER RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/519500/Childrens-Hospital-Medical-Center/13914212/Childrens-Hospital-Medical-Center-Retirement-Plan/2018/,Children's Hospital Medical Center,01/01/2018 — 12/31/2018,01/01/1961,"$1,276,884,912",1,Single Employer,No,Yes,Trust,Trust,"12,259","1,413","5,728","19,400",115,"19,515","19,959",0,579,$0,$0,$0,$0,$0,$0,"3333 Burnet Avenue, Mlc 4900 ",Cincinnati,OH,45229-3039,(513) 636-8778,31-0833936,622000,Fintan Partners LLC,Investment management fees paid directly by plan,NONE,"$17,573",$0,"$17,573"
12,CHILDREN'S HOSPITAL MEDICAL CENTER RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/519500/Childrens-Hospital-Medical-Center/13914212/Childrens-Hospital-Medical-Center-Retirement-Plan/2018/,Children's Hospital Medical Center,01/01/2018 — 12/31/2018,01/01/1961,"$1,276,884,912",1,Single Employer,No,Yes,Trust,Trust,"12,259","1,413","5,728","19,400",115,"19,515","19,959",0,579,$0,$0,$0,$0,$0,$0,"3333 Burnet Avenue, Mlc 4900 ",Cincinnati,OH,45229-3039,(513) 636-8778,31-0833936,622000,Nb Alternative Advisors LLC,Other fees,NONE,$0,"$6,972","$6,972"
13,CHILDREN'S HOSPITAL MEDICAL CENTER RETIREMENT PLAN,https://www.brightscope.com/form-5500/basic-info/519500/Childrens-Hospital-Medical-Center/13914212/Childrens-Hospital-Medical-Center-Retirement-Plan/2018/,Children's Hospital Medical Center,01/01/2018 — 12/31/2018,01/01/1961,"$1,276,884,912",1,Single Employer,No,Yes,Trust,Trust,"12,259","1,413","5,728","19,400",115,"19,515","19,959",0,579,$0,$0,$0,$0,$0,$0,"3333 Burnet Avenue, Mlc 4900 ",Cincinnati,OH,45229-3039,(513) 636-8778,31-0833936,622000,Total,Total,Total,"$1,713,781","$387,356","$2,101,137"
