,Plan_Name,URL,Sponsor_Name,Plan Year,Date of Plan,Net Assets as of 08/31/2013,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Report Description,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2013,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Named Administrator,Named Plan Sponsor,Administrator Name,Telephone,Administrator EIN,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,THE BANK OF AMERICA PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/270209//13913730/The-Bank-Of-America-Pension-Plan-For-Legacy-Companies/,Bank of America Corporation,01/01/2013 — 08/31/2013,01/01/1948,$0,5,Single Employer,No,Yes,This is the final report filed for the plan.This report is for a short plan year (less than 12 months).,InsuranceTrust,Trust,0,0,0,0,0,0,"137,289",0,27,$0,$0,$0,$0,$0,$0,"100 N. Tryon Street, Nc1-007-08-29 ",Charlotte,NC,28255,(800) 556-6044,56-0906609,551111,Susan E. Kelly,Susan E. Kelly,Bank of America Corporation Corporate Benefits Committee,(800) 556-6044,56-0906609,Thomas Moukawsher,"Direct payment from the plan, Other fees",NONE,"$4,000,000",$0,"$4,000,000"
1,THE BANK OF AMERICA PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/270209//13913730/The-Bank-Of-America-Pension-Plan-For-Legacy-Companies/,Bank of America Corporation,01/01/2013 — 08/31/2013,01/01/1948,$0,5,Single Employer,No,Yes,This is the final report filed for the plan.This report is for a short plan year (less than 12 months).,InsuranceTrust,Trust,0,0,0,0,0,0,"137,289",0,27,$0,$0,$0,$0,$0,$0,"100 N. Tryon Street, Nc1-007-08-29 ",Charlotte,NC,28255,(800) 556-6044,56-0906609,551111,Susan E. Kelly,Susan E. Kelly,Bank of America Corporation Corporate Benefits Committee,(800) 556-6044,56-0906609,Fidelity Investments Inst. Ops. Co.,"Recordkeeping and information management (computing, tabulating, data processing, etc.), Trustee (directed), Direct payment from the plan, Recordkeeping fees, Account maintenance fees",Recordkeeper,"$3,443,461",$0,"$3,443,461"
2,THE BANK OF AMERICA PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/270209//13913730/The-Bank-Of-America-Pension-Plan-For-Legacy-Companies/,Bank of America Corporation,01/01/2013 — 08/31/2013,01/01/1948,$0,5,Single Employer,No,Yes,This is the final report filed for the plan.This report is for a short plan year (less than 12 months).,InsuranceTrust,Trust,0,0,0,0,0,0,"137,289",0,27,$0,$0,$0,$0,$0,$0,"100 N. Tryon Street, Nc1-007-08-29 ",Charlotte,NC,28255,(800) 556-6044,56-0906609,551111,Susan E. Kelly,Susan E. Kelly,Bank of America Corporation Corporate Benefits Committee,(800) 556-6044,56-0906609,Columbia Mgmt Investment Advisers,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan, Soft dollars commissions",NONE,"$1,355,590",$0,"$1,355,590"
3,THE BANK OF AMERICA PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/270209//13913730/The-Bank-Of-America-Pension-Plan-For-Legacy-Companies/,Bank of America Corporation,01/01/2013 — 08/31/2013,01/01/1948,$0,5,Single Employer,No,Yes,This is the final report filed for the plan.This report is for a short plan year (less than 12 months).,InsuranceTrust,Trust,0,0,0,0,0,0,"137,289",0,27,$0,$0,$0,$0,$0,$0,"100 N. Tryon Street, Nc1-007-08-29 ",Charlotte,NC,28255,(800) 556-6044,56-0906609,551111,Susan E. Kelly,Susan E. Kelly,Bank of America Corporation Corporate Benefits Committee,(800) 556-6044,56-0906609,Pimco LLC,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan, Investment management fees paid indirectly by plan, Shareholder servicing fees",NONE,"$823,530",$0,"$823,530"
4,THE BANK OF AMERICA PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/270209//13913730/The-Bank-Of-America-Pension-Plan-For-Legacy-Companies/,Bank of America Corporation,01/01/2013 — 08/31/2013,01/01/1948,$0,5,Single Employer,No,Yes,This is the final report filed for the plan.This report is for a short plan year (less than 12 months).,InsuranceTrust,Trust,0,0,0,0,0,0,"137,289",0,27,$0,$0,$0,$0,$0,$0,"100 N. Tryon Street, Nc1-007-08-29 ",Charlotte,NC,28255,(800) 556-6044,56-0906609,551111,Susan E. Kelly,Susan E. Kelly,Bank of America Corporation Corporate Benefits Committee,(800) 556-6044,56-0906609,"T. Rowe Price Associates, Inc.","Investment management, Direct payment from the plan, Investment management fees paid directly by plan, Soft dollars commissions",NONE,"$598,056",$0,"$598,056"
5,THE BANK OF AMERICA PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/270209//13913730/The-Bank-Of-America-Pension-Plan-For-Legacy-Companies/,Bank of America Corporation,01/01/2013 — 08/31/2013,01/01/1948,$0,5,Single Employer,No,Yes,This is the final report filed for the plan.This report is for a short plan year (less than 12 months).,InsuranceTrust,Trust,0,0,0,0,0,0,"137,289",0,27,$0,$0,$0,$0,$0,$0,"100 N. Tryon Street, Nc1-007-08-29 ",Charlotte,NC,28255,(800) 556-6044,56-0906609,551111,Susan E. Kelly,Susan E. Kelly,Bank of America Corporation Corporate Benefits Committee,(800) 556-6044,56-0906609,"William Blair & Company, LLC","Investment management, Direct payment from the plan, Investment management fees paid directly by plan, Soft dollars commissions",NONE,"$574,267",$0,"$574,267"
6,THE BANK OF AMERICA PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/270209//13913730/The-Bank-Of-America-Pension-Plan-For-Legacy-Companies/,Bank of America Corporation,01/01/2013 — 08/31/2013,01/01/1948,$0,5,Single Employer,No,Yes,This is the final report filed for the plan.This report is for a short plan year (less than 12 months).,InsuranceTrust,Trust,0,0,0,0,0,0,"137,289",0,27,$0,$0,$0,$0,$0,$0,"100 N. Tryon Street, Nc1-007-08-29 ",Charlotte,NC,28255,(800) 556-6044,56-0906609,551111,Susan E. Kelly,Susan E. Kelly,Bank of America Corporation Corporate Benefits Committee,(800) 556-6044,56-0906609,"Mfs Institutional Advisors, Inc.","Investment management, Direct payment from the plan, Investment management fees paid directly by plan, Soft dollars commissions",NONE,"$546,927",$0,"$546,927"
7,THE BANK OF AMERICA PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/270209//13913730/The-Bank-Of-America-Pension-Plan-For-Legacy-Companies/,Bank of America Corporation,01/01/2013 — 08/31/2013,01/01/1948,$0,5,Single Employer,No,Yes,This is the final report filed for the plan.This report is for a short plan year (less than 12 months).,InsuranceTrust,Trust,0,0,0,0,0,0,"137,289",0,27,$0,$0,$0,$0,$0,$0,"100 N. Tryon Street, Nc1-007-08-29 ",Charlotte,NC,28255,(800) 556-6044,56-0906609,551111,Susan E. Kelly,Susan E. Kelly,Bank of America Corporation Corporate Benefits Committee,(800) 556-6044,56-0906609,Towers Watson,"Actuarial, Consulting (pension), Direct payment from the plan",NONE,"$532,658",$0,"$532,658"
8,THE BANK OF AMERICA PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/270209//13913730/The-Bank-Of-America-Pension-Plan-For-Legacy-Companies/,Bank of America Corporation,01/01/2013 — 08/31/2013,01/01/1948,$0,5,Single Employer,No,Yes,This is the final report filed for the plan.This report is for a short plan year (less than 12 months).,InsuranceTrust,Trust,0,0,0,0,0,0,"137,289",0,27,$0,$0,$0,$0,$0,$0,"100 N. Tryon Street, Nc1-007-08-29 ",Charlotte,NC,28255,(800) 556-6044,56-0906609,551111,Susan E. Kelly,Susan E. Kelly,Bank of America Corporation Corporate Benefits Committee,(800) 556-6044,56-0906609,Western Asset Management Company,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan",NONE,"$497,731",$0,"$497,731"
9,THE BANK OF AMERICA PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/270209//13913730/The-Bank-Of-America-Pension-Plan-For-Legacy-Companies/,Bank of America Corporation,01/01/2013 — 08/31/2013,01/01/1948,$0,5,Single Employer,No,Yes,This is the final report filed for the plan.This report is for a short plan year (less than 12 months).,InsuranceTrust,Trust,0,0,0,0,0,0,"137,289",0,27,$0,$0,$0,$0,$0,$0,"100 N. Tryon Street, Nc1-007-08-29 ",Charlotte,NC,28255,(800) 556-6044,56-0906609,551111,Susan E. Kelly,Susan E. Kelly,Bank of America Corporation Corporate Benefits Committee,(800) 556-6044,56-0906609,"Montag & Caldwell, LLC","Investment management, Direct payment from the plan, Investment management fees paid directly by plan, Soft dollars commissions",NONE,"$461,311",$0,"$461,311"
10,THE BANK OF AMERICA PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/270209//13913730/The-Bank-Of-America-Pension-Plan-For-Legacy-Companies/,Bank of America Corporation,01/01/2013 — 08/31/2013,01/01/1948,$0,5,Single Employer,No,Yes,This is the final report filed for the plan.This report is for a short plan year (less than 12 months).,InsuranceTrust,Trust,0,0,0,0,0,0,"137,289",0,27,$0,$0,$0,$0,$0,$0,"100 N. Tryon Street, Nc1-007-08-29 ",Charlotte,NC,28255,(800) 556-6044,56-0906609,551111,Susan E. Kelly,Susan E. Kelly,Bank of America Corporation Corporate Benefits Committee,(800) 556-6044,56-0906609,"Turner Investment Partners, Inc.","Investment management, Securities brokerage, Direct payment from the plan, Investment management fees paid directly by plan, Soft dollars commissions",NONE,"$439,152",$0,"$439,152"
11,THE BANK OF AMERICA PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/270209//13913730/The-Bank-Of-America-Pension-Plan-For-Legacy-Companies/,Bank of America Corporation,01/01/2013 — 08/31/2013,01/01/1948,$0,5,Single Employer,No,Yes,This is the final report filed for the plan.This report is for a short plan year (less than 12 months).,InsuranceTrust,Trust,0,0,0,0,0,0,"137,289",0,27,$0,$0,$0,$0,$0,$0,"100 N. Tryon Street, Nc1-007-08-29 ",Charlotte,NC,28255,(800) 556-6044,56-0906609,551111,Susan E. Kelly,Susan E. Kelly,Bank of America Corporation Corporate Benefits Committee,(800) 556-6044,56-0906609,Frontier Capital Management Company,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan, Soft dollars commissions",NONE,"$413,829",$0,"$413,829"
12,THE BANK OF AMERICA PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/270209//13913730/The-Bank-Of-America-Pension-Plan-For-Legacy-Companies/,Bank of America Corporation,01/01/2013 — 08/31/2013,01/01/1948,$0,5,Single Employer,No,Yes,This is the final report filed for the plan.This report is for a short plan year (less than 12 months).,InsuranceTrust,Trust,0,0,0,0,0,0,"137,289",0,27,$0,$0,$0,$0,$0,$0,"100 N. Tryon Street, Nc1-007-08-29 ",Charlotte,NC,28255,(800) 556-6044,56-0906609,551111,Susan E. Kelly,Susan E. Kelly,Bank of America Corporation Corporate Benefits Committee,(800) 556-6044,56-0906609,"Integrity Asset Management, LLC","Investment management, Direct payment from the plan, Investment management fees paid directly by plan, Soft dollars commissions",NONE,"$409,997",$0,"$409,997"
13,THE BANK OF AMERICA PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/270209//13913730/The-Bank-Of-America-Pension-Plan-For-Legacy-Companies/,Bank of America Corporation,01/01/2013 — 08/31/2013,01/01/1948,$0,5,Single Employer,No,Yes,This is the final report filed for the plan.This report is for a short plan year (less than 12 months).,InsuranceTrust,Trust,0,0,0,0,0,0,"137,289",0,27,$0,$0,$0,$0,$0,$0,"100 N. Tryon Street, Nc1-007-08-29 ",Charlotte,NC,28255,(800) 556-6044,56-0906609,551111,Susan E. Kelly,Susan E. Kelly,Bank of America Corporation Corporate Benefits Committee,(800) 556-6044,56-0906609,"Wellington Management Company, LLP","Investment management, Direct payment from the plan, Investment management fees paid directly by plan, Soft dollars commissions",NONE,"$394,506",$0,"$394,506"
14,THE BANK OF AMERICA PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/270209//13913730/The-Bank-Of-America-Pension-Plan-For-Legacy-Companies/,Bank of America Corporation,01/01/2013 — 08/31/2013,01/01/1948,$0,5,Single Employer,No,Yes,This is the final report filed for the plan.This report is for a short plan year (less than 12 months).,InsuranceTrust,Trust,0,0,0,0,0,0,"137,289",0,27,$0,$0,$0,$0,$0,$0,"100 N. Tryon Street, Nc1-007-08-29 ",Charlotte,NC,28255,(800) 556-6044,56-0906609,551111,Susan E. Kelly,Susan E. Kelly,Bank of America Corporation Corporate Benefits Committee,(800) 556-6044,56-0906609,"Thompson, Siegel & Walmsley, LLC","Investment management, Direct payment from the plan, Investment management fees paid directly by plan, Soft dollars commissions",NONE,"$306,085",$0,"$306,085"
15,THE BANK OF AMERICA PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/270209//13913730/The-Bank-Of-America-Pension-Plan-For-Legacy-Companies/,Bank of America Corporation,01/01/2013 — 08/31/2013,01/01/1948,$0,5,Single Employer,No,Yes,This is the final report filed for the plan.This report is for a short plan year (less than 12 months).,InsuranceTrust,Trust,0,0,0,0,0,0,"137,289",0,27,$0,$0,$0,$0,$0,$0,"100 N. Tryon Street, Nc1-007-08-29 ",Charlotte,NC,28255,(800) 556-6044,56-0906609,551111,Susan E. Kelly,Susan E. Kelly,Bank of America Corporation Corporate Benefits Committee,(800) 556-6044,56-0906609,"Mondrian Investment Partners, Inc.","Investment management, Direct payment from the plan, Investment management fees paid directly by plan, Soft dollars commissions",NONE,"$292,430",$0,"$292,430"
16,THE BANK OF AMERICA PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/270209//13913730/The-Bank-Of-America-Pension-Plan-For-Legacy-Companies/,Bank of America Corporation,01/01/2013 — 08/31/2013,01/01/1948,$0,5,Single Employer,No,Yes,This is the final report filed for the plan.This report is for a short plan year (less than 12 months).,InsuranceTrust,Trust,0,0,0,0,0,0,"137,289",0,27,$0,$0,$0,$0,$0,$0,"100 N. Tryon Street, Nc1-007-08-29 ",Charlotte,NC,28255,(800) 556-6044,56-0906609,551111,Susan E. Kelly,Susan E. Kelly,Bank of America Corporation Corporate Benefits Committee,(800) 556-6044,56-0906609,Goldman Sachs Asset Management,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan, Soft dollars commissions, Securities brokerage commissions and fees",NONE,"$254,632",$0,"$254,632"
17,THE BANK OF AMERICA PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/270209//13913730/The-Bank-Of-America-Pension-Plan-For-Legacy-Companies/,Bank of America Corporation,01/01/2013 — 08/31/2013,01/01/1948,$0,5,Single Employer,No,Yes,This is the final report filed for the plan.This report is for a short plan year (less than 12 months).,InsuranceTrust,Trust,0,0,0,0,0,0,"137,289",0,27,$0,$0,$0,$0,$0,$0,"100 N. Tryon Street, Nc1-007-08-29 ",Charlotte,NC,28255,(800) 556-6044,56-0906609,551111,Susan E. Kelly,Susan E. Kelly,Bank of America Corporation Corporate Benefits Committee,(800) 556-6044,56-0906609,The Bank of New York Mellon,"Direct payment from the plan, Float revenue, Account maintenance fees, Securities brokerage commissions and fees",NONE,"$237,083",$0,"$237,083"
