,FileCompName,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Named Administrator,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,BJC Health System,01/01/2018 — 12/31/2018,01/01/1997,"$2,404,454,233",333,Single Employer,No,Yes,Trust,Trust,"20,277","9,105","7,235","36,617",518,"37,135","35,824",0,"1,290",$0,$0,$0,$0,$0,$0,8300 Eager Road Suite 300C ,St. Louis,MO,63144,(314) 362-0551,43-1617558,622000,John Higdon,Mercer,"Actuarial, Recordkeeping and information management (computing, tabulating, data processing, etc.), Direct payment from the plan",NONE,"$2,002,200",$0,"$2,002,200"
1,BJC Health System,01/01/2018 — 12/31/2018,01/01/1997,"$2,404,454,233",333,Single Employer,No,Yes,Trust,Trust,"20,277","9,105","7,235","36,617",518,"37,135","35,824",0,"1,290",$0,$0,$0,$0,$0,$0,8300 Eager Road Suite 300C ,St. Louis,MO,63144,(314) 362-0551,43-1617558,622000,John Higdon,III Offshore Advisors,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan",NONE,"$1,434,048",$0,"$1,434,048"
2,BJC Health System,01/01/2018 — 12/31/2018,01/01/1997,"$2,404,454,233",333,Single Employer,No,Yes,Trust,Trust,"20,277","9,105","7,235","36,617",518,"37,135","35,824",0,"1,290",$0,$0,$0,$0,$0,$0,8300 Eager Road Suite 300C ,St. Louis,MO,63144,(314) 362-0551,43-1617558,622000,John Higdon,Silchester International Investor I,"Investment advisory (plan), Direct payment from the plan, Investment management fees paid directly by plan, Soft dollars commissions",NONE,"$594,368",$0,"$594,368"
3,BJC Health System,01/01/2018 — 12/31/2018,01/01/1997,"$2,404,454,233",333,Single Employer,No,Yes,Trust,Trust,"20,277","9,105","7,235","36,617",518,"37,135","35,824",0,"1,290",$0,$0,$0,$0,$0,$0,8300 Eager Road Suite 300C ,St. Louis,MO,63144,(314) 362-0551,43-1617558,622000,John Higdon,Nisa Investment Advisors L.L.C.,"Investment advisory (plan), Direct payment from the plan, Investment management fees paid directly by plan",NONE,"$545,219",$0,"$545,219"
4,BJC Health System,01/01/2018 — 12/31/2018,01/01/1997,"$2,404,454,233",333,Single Employer,No,Yes,Trust,Trust,"20,277","9,105","7,235","36,617",518,"37,135","35,824",0,"1,290",$0,$0,$0,$0,$0,$0,8300 Eager Road Suite 300C ,St. Louis,MO,63144,(314) 362-0551,43-1617558,622000,John Higdon,Gso Investments,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan, Investment management fees paid indirectly by plan",NONE,"$517,469",$0,"$517,469"
5,BJC Health System,01/01/2018 — 12/31/2018,01/01/1997,"$2,404,454,233",333,Single Employer,No,Yes,Trust,Trust,"20,277","9,105","7,235","36,617",518,"37,135","35,824",0,"1,290",$0,$0,$0,$0,$0,$0,8300 Eager Road Suite 300C ,St. Louis,MO,63144,(314) 362-0551,43-1617558,622000,John Higdon,Lsv Asset Management,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan",NONE,"$500,669",$0,"$500,669"
6,BJC Health System,01/01/2018 — 12/31/2018,01/01/1997,"$2,404,454,233",333,Single Employer,No,Yes,Trust,Trust,"20,277","9,105","7,235","36,617",518,"37,135","35,824",0,"1,290",$0,$0,$0,$0,$0,$0,8300 Eager Road Suite 300C ,St. Louis,MO,63144,(314) 362-0551,43-1617558,622000,John Higdon,Northern Trust Company,"Trustee (bank, trust company, or similar financial institution), Direct payment from the plan, Investment management fees paid directly by plan",NONE,"$433,729",$0,"$433,729"
7,BJC Health System,01/01/2018 — 12/31/2018,01/01/1997,"$2,404,454,233",333,Single Employer,No,Yes,Trust,Trust,"20,277","9,105","7,235","36,617",518,"37,135","35,824",0,"1,290",$0,$0,$0,$0,$0,$0,8300 Eager Road Suite 300C ,St. Louis,MO,63144,(314) 362-0551,43-1617558,622000,John Higdon,Acadian Asset Management Headquarte,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan",NONE,"$319,210",$0,"$319,210"
8,BJC Health System,01/01/2018 — 12/31/2018,01/01/1997,"$2,404,454,233",333,Single Employer,No,Yes,Trust,Trust,"20,277","9,105","7,235","36,617",518,"37,135","35,824",0,"1,290",$0,$0,$0,$0,$0,$0,8300 Eager Road Suite 300C ,St. Louis,MO,63144,(314) 362-0551,43-1617558,622000,John Higdon,Deprince Race & Zollo Inc.,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan, Soft dollars commissions, Securities brokerage commissions and fees",NONE,"$288,195",$0,"$288,195"
9,BJC Health System,01/01/2018 — 12/31/2018,01/01/1997,"$2,404,454,233",333,Single Employer,No,Yes,Trust,Trust,"20,277","9,105","7,235","36,617",518,"37,135","35,824",0,"1,290",$0,$0,$0,$0,$0,$0,8300 Eager Road Suite 300C ,St. Louis,MO,63144,(314) 362-0551,43-1617558,622000,John Higdon,Albourne America LLC,"Consulting (general), Direct payment from the plan",NONE,"$252,916",$0,"$252,916"
10,BJC Health System,01/01/2018 — 12/31/2018,01/01/1997,"$2,404,454,233",333,Single Employer,No,Yes,Trust,Trust,"20,277","9,105","7,235","36,617",518,"37,135","35,824",0,"1,290",$0,$0,$0,$0,$0,$0,8300 Eager Road Suite 300C ,St. Louis,MO,63144,(314) 362-0551,43-1617558,622000,John Higdon,Commerce Trust Company,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan, Soft dollars commissions",NONE,"$243,075",$0,"$243,075"
11,BJC Health System,01/01/2018 — 12/31/2018,01/01/1997,"$2,404,454,233",333,Single Employer,No,Yes,Trust,Trust,"20,277","9,105","7,235","36,617",518,"37,135","35,824",0,"1,290",$0,$0,$0,$0,$0,$0,8300 Eager Road Suite 300C ,St. Louis,MO,63144,(314) 362-0551,43-1617558,622000,John Higdon,Intech Investment Management LLC,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan",NONE,"$88,400",$0,"$88,400"
12,BJC Health System,01/01/2018 — 12/31/2018,01/01/1997,"$2,404,454,233",333,Single Employer,No,Yes,Trust,Trust,"20,277","9,105","7,235","36,617",518,"37,135","35,824",0,"1,290",$0,$0,$0,$0,$0,$0,8300 Eager Road Suite 300C ,St. Louis,MO,63144,(314) 362-0551,43-1617558,622000,John Higdon,Harvest Investments,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan, Soft dollars commissions",NONE,"$64,421",$0,"$64,421"
13,BJC Health System,01/01/2018 — 12/31/2018,01/01/1997,"$2,404,454,233",333,Single Employer,No,Yes,Trust,Trust,"20,277","9,105","7,235","36,617",518,"37,135","35,824",0,"1,290",$0,$0,$0,$0,$0,$0,8300 Eager Road Suite 300C ,St. Louis,MO,63144,(314) 362-0551,43-1617558,622000,John Higdon,Tempo Holding Company LLC Dba Aligh,"Recordkeeping and information management (computing, tabulating, data processing, etc.), Direct payment from the plan",NONE,"$53,698",$0,"$53,698"
14,BJC Health System,01/01/2018 — 12/31/2018,01/01/1997,"$2,404,454,233",333,Single Employer,No,Yes,Trust,Trust,"20,277","9,105","7,235","36,617",518,"37,135","35,824",0,"1,290",$0,$0,$0,$0,$0,$0,8300 Eager Road Suite 300C ,St. Louis,MO,63144,(314) 362-0551,43-1617558,622000,John Higdon,Ernst & Young Us LLP,"Accounting (including auditing), Direct payment from the plan",NONE,"$26,615",$0,"$26,615"
15,BJC Health System,01/01/2018 — 12/31/2018,01/01/1997,"$2,404,454,233",333,Single Employer,No,Yes,Trust,Trust,"20,277","9,105","7,235","36,617",518,"37,135","35,824",0,"1,290",$0,$0,$0,$0,$0,$0,8300 Eager Road Suite 300C ,St. Louis,MO,63144,(314) 362-0551,43-1617558,622000,John Higdon,Swift Print Communications,Other fees,NONE,"$14,030",$0,"$14,030"
16,BJC Health System,01/01/2018 — 12/31/2018,01/01/1997,"$2,404,454,233",333,Single Employer,No,Yes,Trust,Trust,"20,277","9,105","7,235","36,617",518,"37,135","35,824",0,"1,290",$0,$0,$0,$0,$0,$0,8300 Eager Road Suite 300C ,St. Louis,MO,63144,(314) 362-0551,43-1617558,622000,John Higdon,Asset Consulting Group LLC,"Consulting (general), Direct payment from the plan",NONE,"$10,415",$0,"$10,415"
17,BJC Health System,01/01/2018 — 12/31/2018,01/01/1997,"$2,404,454,233",333,Single Employer,No,Yes,Trust,Trust,"20,277","9,105","7,235","36,617",518,"37,135","35,824",0,"1,290",$0,$0,$0,$0,$0,$0,8300 Eager Road Suite 300C ,St. Louis,MO,63144,(314) 362-0551,43-1617558,622000,John Higdon,Alight Solutions LLC,"Recordkeeping and information management (computing, tabulating, data processing, etc.), Direct payment from the plan",NONE,"$8,613",$0,"$8,613"
18,BJC Health System,01/01/2018 — 12/31/2018,01/01/1997,"$2,404,454,233",333,Single Employer,No,Yes,Trust,Trust,"20,277","9,105","7,235","36,617",518,"37,135","35,824",0,"1,290",$0,$0,$0,$0,$0,$0,8300 Eager Road Suite 300C ,St. Louis,MO,63144,(314) 362-0551,43-1617558,622000,John Higdon,Total,Total,Total,"$7,397,290",$0,"$7,397,290"
