,FileCompName,Plan Year,Date of Plan,Net Assets as of 12/31/2010,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2010,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Named Administrator,Named Plan Sponsor,Administrator Name,Address,City,State,Zip,Telephone,Administrator EIN,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,L'OREAL USA INC,01/01/2010 — 12/31/2010,01/01/1959,"$606,538,432",2,Single Employer,No,Yes,Trust,Trust,"5,823","1,504","3,643","10,970",154,"11,124","11,239",0,256,$0,$0,$0,$0,$0,$0,50 Connell Drive ,Berkeley Heights,NJ,07922,(908) 673-3498,22-1539735,325900,Jim Huether,Jim Huether,"L'Oreal USA, Inc.",50 Connell Drive ,Berkeley Heights,NJ,07922,(908) 673-3498,22-1539735,Towers Watson,"Actuarial, Plan Administrator, Direct payment from the plan",Actuary,"$1,984,157",$0,"$1,984,157"
1,L'OREAL USA INC,01/01/2010 — 12/31/2010,01/01/1959,"$606,538,432",2,Single Employer,No,Yes,Trust,Trust,"5,823","1,504","3,643","10,970",154,"11,124","11,239",0,256,$0,$0,$0,$0,$0,$0,50 Connell Drive ,Berkeley Heights,NJ,07922,(908) 673-3498,22-1539735,325900,Jim Huether,Jim Huether,"L'Oreal USA, Inc.",50 Connell Drive ,Berkeley Heights,NJ,07922,(908) 673-3498,22-1539735,Ubs Global Asset Management,"Investment management, Investment management fees paid directly by plan",Investment Manager,"$289,884",$0,"$289,884"
2,L'OREAL USA INC,01/01/2010 — 12/31/2010,01/01/1959,"$606,538,432",2,Single Employer,No,Yes,Trust,Trust,"5,823","1,504","3,643","10,970",154,"11,124","11,239",0,256,$0,$0,$0,$0,$0,$0,50 Connell Drive ,Berkeley Heights,NJ,07922,(908) 673-3498,22-1539735,325900,Jim Huether,Jim Huether,"L'Oreal USA, Inc.",50 Connell Drive ,Berkeley Heights,NJ,07922,(908) 673-3498,22-1539735,Jp Morgan Fleming Asset Mgt USA I,"Investment management, Investment management fees paid directly by plan",Investment Manager,"$248,843",$0,"$248,843"
3,L'OREAL USA INC,01/01/2010 — 12/31/2010,01/01/1959,"$606,538,432",2,Single Employer,No,Yes,Trust,Trust,"5,823","1,504","3,643","10,970",154,"11,124","11,239",0,256,$0,$0,$0,$0,$0,$0,50 Connell Drive ,Berkeley Heights,NJ,07922,(908) 673-3498,22-1539735,325900,Jim Huether,Jim Huether,"L'Oreal USA, Inc.",50 Connell Drive ,Berkeley Heights,NJ,07922,(908) 673-3498,22-1539735,Northern Trust Company,"Trustee (bank, trust company, or similar financial institution), Direct payment from the plan",Trustee,"$180,748",$0,"$180,748"
4,L'OREAL USA INC,01/01/2010 — 12/31/2010,01/01/1959,"$606,538,432",2,Single Employer,No,Yes,Trust,Trust,"5,823","1,504","3,643","10,970",154,"11,124","11,239",0,256,$0,$0,$0,$0,$0,$0,50 Connell Drive ,Berkeley Heights,NJ,07922,(908) 673-3498,22-1539735,325900,Jim Huether,Jim Huether,"L'Oreal USA, Inc.",50 Connell Drive ,Berkeley Heights,NJ,07922,(908) 673-3498,22-1539735,Wellington Management Company,"Investment management, Investment management fees paid directly by plan",Investment Manager,"$122,575",$0,"$122,575"
5,L'OREAL USA INC,01/01/2010 — 12/31/2010,01/01/1959,"$606,538,432",2,Single Employer,No,Yes,Trust,Trust,"5,823","1,504","3,643","10,970",154,"11,124","11,239",0,256,$0,$0,$0,$0,$0,$0,50 Connell Drive ,Berkeley Heights,NJ,07922,(908) 673-3498,22-1539735,325900,Jim Huether,Jim Huether,"L'Oreal USA, Inc.",50 Connell Drive ,Berkeley Heights,NJ,07922,(908) 673-3498,22-1539735,Blackrock Institutional Trust Compa,"Trustee (bank, trust company, or similar financial institution), Trustee (discretionary), Investment management, Valuation (appraisals, etc.), Direct payment from the plan, Investment management fees paid directly by plan, Investment management fees paid indirectly by plan",Investment Manager,"$106,252",$0,"$106,252"
6,L'OREAL USA INC,01/01/2010 — 12/31/2010,01/01/1959,"$606,538,432",2,Single Employer,No,Yes,Trust,Trust,"5,823","1,504","3,643","10,970",154,"11,124","11,239",0,256,$0,$0,$0,$0,$0,$0,50 Connell Drive ,Berkeley Heights,NJ,07922,(908) 673-3498,22-1539735,325900,Jim Huether,Jim Huether,"L'Oreal USA, Inc.",50 Connell Drive ,Berkeley Heights,NJ,07922,(908) 673-3498,22-1539735,Axa Rosenberg Investment Management,"Investment management, Investment management fees paid directly by plan",Investment Manager,"$82,028",$0,"$82,028"
7,L'OREAL USA INC,01/01/2010 — 12/31/2010,01/01/1959,"$606,538,432",2,Single Employer,No,Yes,Trust,Trust,"5,823","1,504","3,643","10,970",154,"11,124","11,239",0,256,$0,$0,$0,$0,$0,$0,50 Connell Drive ,Berkeley Heights,NJ,07922,(908) 673-3498,22-1539735,325900,Jim Huether,Jim Huether,"L'Oreal USA, Inc.",50 Connell Drive ,Berkeley Heights,NJ,07922,(908) 673-3498,22-1539735,Arden Asset Management LLC,"Investment management, Investment management fees paid indirectly by plan",Investment Manager,$0,"$75,096","$75,096"
8,L'OREAL USA INC,01/01/2010 — 12/31/2010,01/01/1959,"$606,538,432",2,Single Employer,No,Yes,Trust,Trust,"5,823","1,504","3,643","10,970",154,"11,124","11,239",0,256,$0,$0,$0,$0,$0,$0,50 Connell Drive ,Berkeley Heights,NJ,07922,(908) 673-3498,22-1539735,325900,Jim Huether,Jim Huether,"L'Oreal USA, Inc.",50 Connell Drive ,Berkeley Heights,NJ,07922,(908) 673-3498,22-1539735,Captrust Advisors,"Investment advisory (plan), Direct payment from the plan",Investment Advisor,"$73,676",$0,"$73,676"
9,L'OREAL USA INC,01/01/2010 — 12/31/2010,01/01/1959,"$606,538,432",2,Single Employer,No,Yes,Trust,Trust,"5,823","1,504","3,643","10,970",154,"11,124","11,239",0,256,$0,$0,$0,$0,$0,$0,50 Connell Drive ,Berkeley Heights,NJ,07922,(908) 673-3498,22-1539735,325900,Jim Huether,Jim Huether,"L'Oreal USA, Inc.",50 Connell Drive ,Berkeley Heights,NJ,07922,(908) 673-3498,22-1539735,Salibello & Broder LLP,"Accounting (including auditing), Direct payment from the plan",Auditor,"$61,831",$0,"$61,831"
10,L'OREAL USA INC,01/01/2010 — 12/31/2010,01/01/1959,"$606,538,432",2,Single Employer,No,Yes,Trust,Trust,"5,823","1,504","3,643","10,970",154,"11,124","11,239",0,256,$0,$0,$0,$0,$0,$0,50 Connell Drive ,Berkeley Heights,NJ,07922,(908) 673-3498,22-1539735,325900,Jim Huether,Jim Huether,"L'Oreal USA, Inc.",50 Connell Drive ,Berkeley Heights,NJ,07922,(908) 673-3498,22-1539735,Stevenson Keppleman Assoc. Corp,"Legal, Direct payment from the plan",Legal Counsel,"$56,650",$0,"$56,650"
11,L'OREAL USA INC,01/01/2010 — 12/31/2010,01/01/1959,"$606,538,432",2,Single Employer,No,Yes,Trust,Trust,"5,823","1,504","3,643","10,970",154,"11,124","11,239",0,256,$0,$0,$0,$0,$0,$0,50 Connell Drive ,Berkeley Heights,NJ,07922,(908) 673-3498,22-1539735,325900,Jim Huether,Jim Huether,"L'Oreal USA, Inc.",50 Connell Drive ,Berkeley Heights,NJ,07922,(908) 673-3498,22-1539735,Rogers Casey Inc.,"Investment advisory (plan), Direct payment from the plan",Investment Advisor,"$52,766",$0,"$52,766"
12,L'OREAL USA INC,01/01/2010 — 12/31/2010,01/01/1959,"$606,538,432",2,Single Employer,No,Yes,Trust,Trust,"5,823","1,504","3,643","10,970",154,"11,124","11,239",0,256,$0,$0,$0,$0,$0,$0,50 Connell Drive ,Berkeley Heights,NJ,07922,(908) 673-3498,22-1539735,325900,Jim Huether,Jim Huether,"L'Oreal USA, Inc.",50 Connell Drive ,Berkeley Heights,NJ,07922,(908) 673-3498,22-1539735,Pimco,"Investment management, Investment management fees paid directly by plan",Investment Manager,"$21,073",$0,"$21,073"
13,L'OREAL USA INC,01/01/2010 — 12/31/2010,01/01/1959,"$606,538,432",2,Single Employer,No,Yes,Trust,Trust,"5,823","1,504","3,643","10,970",154,"11,124","11,239",0,256,$0,$0,$0,$0,$0,$0,50 Connell Drive ,Berkeley Heights,NJ,07922,(908) 673-3498,22-1539735,325900,Jim Huether,Jim Huether,"L'Oreal USA, Inc.",50 Connell Drive ,Berkeley Heights,NJ,07922,(908) 673-3498,22-1539735,Marketing Communication Resource In,"Copying and duplicating, Direct payment from the plan",Service Provider,"$10,726",$0,"$10,726"
14,L'OREAL USA INC,01/01/2010 — 12/31/2010,01/01/1959,"$606,538,432",2,Single Employer,No,Yes,Trust,Trust,"5,823","1,504","3,643","10,970",154,"11,124","11,239",0,256,$0,$0,$0,$0,$0,$0,50 Connell Drive ,Berkeley Heights,NJ,07922,(908) 673-3498,22-1539735,325900,Jim Huether,Jim Huether,"L'Oreal USA, Inc.",50 Connell Drive ,Berkeley Heights,NJ,07922,(908) 673-3498,22-1539735,American-Solutions for Business,"Copying and duplicating, Investment management fees paid directly by plan",Investment Manager,"$5,482",$0,"$5,482"
15,L'OREAL USA INC,01/01/2010 — 12/31/2010,01/01/1959,"$606,538,432",2,Single Employer,No,Yes,Trust,Trust,"5,823","1,504","3,643","10,970",154,"11,124","11,239",0,256,$0,$0,$0,$0,$0,$0,50 Connell Drive ,Berkeley Heights,NJ,07922,(908) 673-3498,22-1539735,325900,Jim Huether,Jim Huether,"L'Oreal USA, Inc.",50 Connell Drive ,Berkeley Heights,NJ,07922,(908) 673-3498,22-1539735,"Wellington Trust Company, N.A.","Investment management, Investment management fees paid indirectly by plan",Investment Manager,$0,$0,$0
16,L'OREAL USA INC,01/01/2010 — 12/31/2010,01/01/1959,"$606,538,432",2,Single Employer,No,Yes,Trust,Trust,"5,823","1,504","3,643","10,970",154,"11,124","11,239",0,256,$0,$0,$0,$0,$0,$0,50 Connell Drive ,Berkeley Heights,NJ,07922,(908) 673-3498,22-1539735,325900,Jim Huether,Jim Huether,"L'Oreal USA, Inc.",50 Connell Drive ,Berkeley Heights,NJ,07922,(908) 673-3498,22-1539735,The Vanguard Group,"Investment management, Investment management fees paid indirectly by plan",Investment Manager,$0,$0,$0
17,L'OREAL USA INC,01/01/2010 — 12/31/2010,01/01/1959,"$606,538,432",2,Single Employer,No,Yes,Trust,Trust,"5,823","1,504","3,643","10,970",154,"11,124","11,239",0,256,$0,$0,$0,$0,$0,$0,50 Connell Drive ,Berkeley Heights,NJ,07922,(908) 673-3498,22-1539735,325900,Jim Huether,Jim Huether,"L'Oreal USA, Inc.",50 Connell Drive ,Berkeley Heights,NJ,07922,(908) 673-3498,22-1539735,Total,Total,Total,"$3,296,691","$75,096","$3,371,787"
