,FileCompName,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Report Description,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Named Administrator,Named Plan Sponsor,Audit Status,Auditor,Auditor EIN,Audit Opinion,Audit Type,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,The Travelers Companies Inc,01/01/2018 — 12/31/2018,01/01/1960,"$6,141,613,329",2,Single Employer,No,Yes,This is an amended report.,Trust,InsuranceTrust,"27,839",656,"9,848","38,343",27,"38,370","38,197","38,099",575,$0,$0,$0,$0,$0,$0,385 Washington Street ,St. Paul,MN,55102-1396,(800) 441-4378,41-0518860,524150,"Diane D. Bengston, Evp Hr Plan Ad","Paul E. Munson, Vp-Asst Controller",Audited,"Kpmg, LLC",13-5565207,Unqualified,Full Audit,"Edelman Financial Engines, LLC","Investment advisory (participants), Investment advisory (plan), Investment management, Direct payment from the plan",NONE,"$3,088,674",$0,"$3,088,674"
1,The Travelers Companies Inc,01/01/2018 — 12/31/2018,01/01/1960,"$6,141,613,329",2,Single Employer,No,Yes,This is an amended report.,Trust,InsuranceTrust,"27,839",656,"9,848","38,343",27,"38,370","38,197","38,099",575,$0,$0,$0,$0,$0,$0,385 Washington Street ,St. Paul,MN,55102-1396,(800) 441-4378,41-0518860,524150,"Diane D. Bengston, Evp Hr Plan Ad","Paul E. Munson, Vp-Asst Controller",Audited,"Kpmg, LLC",13-5565207,Unqualified,Full Audit,Fidelity Investments Institutional,"Participant loan processing, Other services, Direct payment from the plan, Sub-transfer agency fees, Recordkeeping fees, Account maintenance fees, Securities brokerage commissions and fees",NONE,"$1,268,704",$0,"$1,268,704"
2,The Travelers Companies Inc,01/01/2018 — 12/31/2018,01/01/1960,"$6,141,613,329",2,Single Employer,No,Yes,This is an amended report.,Trust,InsuranceTrust,"27,839",656,"9,848","38,343",27,"38,370","38,197","38,099",575,$0,$0,$0,$0,$0,$0,385 Washington Street ,St. Paul,MN,55102-1396,(800) 441-4378,41-0518860,524150,"Diane D. Bengston, Evp Hr Plan Ad","Paul E. Munson, Vp-Asst Controller",Audited,"Kpmg, LLC",13-5565207,Unqualified,Full Audit,"Strategic Advisors, Inc.","Investment advisory (participants), Investment advisory (plan), Direct payment from the plan",NONE,"$649,180",$0,"$649,180"
3,The Travelers Companies Inc,01/01/2018 — 12/31/2018,01/01/1960,"$6,141,613,329",2,Single Employer,No,Yes,This is an amended report.,Trust,InsuranceTrust,"27,839",656,"9,848","38,343",27,"38,370","38,197","38,099",575,$0,$0,$0,$0,$0,$0,385 Washington Street ,St. Paul,MN,55102-1396,(800) 441-4378,41-0518860,524150,"Diane D. Bengston, Evp Hr Plan Ad","Paul E. Munson, Vp-Asst Controller",Audited,"Kpmg, LLC",13-5565207,Unqualified,Full Audit,Prudential Insurance Co.,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan, Other investment fees and expenses",NONE,"$256,235",$0,"$256,235"
4,The Travelers Companies Inc,01/01/2018 — 12/31/2018,01/01/1960,"$6,141,613,329",2,Single Employer,No,Yes,This is an amended report.,Trust,InsuranceTrust,"27,839",656,"9,848","38,343",27,"38,370","38,197","38,099",575,$0,$0,$0,$0,$0,$0,385 Washington Street ,St. Paul,MN,55102-1396,(800) 441-4378,41-0518860,524150,"Diane D. Bengston, Evp Hr Plan Ad","Paul E. Munson, Vp-Asst Controller",Audited,"Kpmg, LLC",13-5565207,Unqualified,Full Audit,"Compsight, LLC","Recordkeeping and information management (computing, tabulating, data processing, etc.), Participant communication, Direct payment from the plan",NONE,"$184,829",$0,"$184,829"
5,The Travelers Companies Inc,01/01/2018 — 12/31/2018,01/01/1960,"$6,141,613,329",2,Single Employer,No,Yes,This is an amended report.,Trust,InsuranceTrust,"27,839",656,"9,848","38,343",27,"38,370","38,197","38,099",575,$0,$0,$0,$0,$0,$0,385 Washington Street ,St. Paul,MN,55102-1396,(800) 441-4378,41-0518860,524150,"Diane D. Bengston, Evp Hr Plan Ad","Paul E. Munson, Vp-Asst Controller",Audited,"Kpmg, LLC",13-5565207,Unqualified,Full Audit,State Street Global Advisor Trust,"Custodial (other than securities), Custodial (securities), Direct payment from the plan, Investment management fees paid directly by plan, Non-monetary compensation",NONE,"$129,963",$0,"$129,963"
6,The Travelers Companies Inc,01/01/2018 — 12/31/2018,01/01/1960,"$6,141,613,329",2,Single Employer,No,Yes,This is an amended report.,Trust,InsuranceTrust,"27,839",656,"9,848","38,343",27,"38,370","38,197","38,099",575,$0,$0,$0,$0,$0,$0,385 Washington Street ,St. Paul,MN,55102-1396,(800) 441-4378,41-0518860,524150,"Diane D. Bengston, Evp Hr Plan Ad","Paul E. Munson, Vp-Asst Controller",Audited,"Kpmg, LLC",13-5565207,Unqualified,Full Audit,Prudential Trust Co.,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan",NONE,"$88,443",$0,"$88,443"
7,The Travelers Companies Inc,01/01/2018 — 12/31/2018,01/01/1960,"$6,141,613,329",2,Single Employer,No,Yes,This is an amended report.,Trust,InsuranceTrust,"27,839",656,"9,848","38,343",27,"38,370","38,197","38,099",575,$0,$0,$0,$0,$0,$0,385 Washington Street ,St. Paul,MN,55102-1396,(800) 441-4378,41-0518860,524150,"Diane D. Bengston, Evp Hr Plan Ad","Paul E. Munson, Vp-Asst Controller",Audited,"Kpmg, LLC",13-5565207,Unqualified,Full Audit,"Curcio Webb, LLC","Consulting (general), Investment advisory (plan), Direct payment from the plan, Consulting fees",NONE,"$55,946",$0,"$55,946"
8,The Travelers Companies Inc,01/01/2018 — 12/31/2018,01/01/1960,"$6,141,613,329",2,Single Employer,No,Yes,This is an amended report.,Trust,InsuranceTrust,"27,839",656,"9,848","38,343",27,"38,370","38,197","38,099",575,$0,$0,$0,$0,$0,$0,385 Washington Street ,St. Paul,MN,55102-1396,(800) 441-4378,41-0518860,524150,"Diane D. Bengston, Evp Hr Plan Ad","Paul E. Munson, Vp-Asst Controller",Audited,"Kpmg, LLC",13-5565207,Unqualified,Full Audit,"Qdro Consultants Co., LLC","Legal, Direct payment from the plan, Account maintenance fees",NONE,"$15,000",$0,"$15,000"
9,The Travelers Companies Inc,01/01/2018 — 12/31/2018,01/01/1960,"$6,141,613,329",2,Single Employer,No,Yes,This is an amended report.,Trust,InsuranceTrust,"27,839",656,"9,848","38,343",27,"38,370","38,197","38,099",575,$0,$0,$0,$0,$0,$0,385 Washington Street ,St. Paul,MN,55102-1396,(800) 441-4378,41-0518860,524150,"Diane D. Bengston, Evp Hr Plan Ad","Paul E. Munson, Vp-Asst Controller",Audited,"Kpmg, LLC",13-5565207,Unqualified,Full Audit,"Marudas Graphics, Inc.","Participant communication, Direct payment from the plan",NONE,"$14,802",$0,"$14,802"
10,The Travelers Companies Inc,01/01/2018 — 12/31/2018,01/01/1960,"$6,141,613,329",2,Single Employer,No,Yes,This is an amended report.,Trust,InsuranceTrust,"27,839",656,"9,848","38,343",27,"38,370","38,197","38,099",575,$0,$0,$0,$0,$0,$0,385 Washington Street ,St. Paul,MN,55102-1396,(800) 441-4378,41-0518860,524150,"Diane D. Bengston, Evp Hr Plan Ad","Paul E. Munson, Vp-Asst Controller",Audited,"Kpmg, LLC",13-5565207,Unqualified,Full Audit,"Techinture, Inc","Recordkeeping and information management (computing, tabulating, data processing, etc.), Consulting (general), Other services, Direct payment from the plan",NONE,"$14,684",$0,"$14,684"
11,The Travelers Companies Inc,01/01/2018 — 12/31/2018,01/01/1960,"$6,141,613,329",2,Single Employer,No,Yes,This is an amended report.,Trust,InsuranceTrust,"27,839",656,"9,848","38,343",27,"38,370","38,197","38,099",575,$0,$0,$0,$0,$0,$0,385 Washington Street ,St. Paul,MN,55102-1396,(800) 441-4378,41-0518860,524150,"Diane D. Bengston, Evp Hr Plan Ad","Paul E. Munson, Vp-Asst Controller",Audited,"Kpmg, LLC",13-5565207,Unqualified,Full Audit,Total,Total,Total,"$5,766,460",$0,"$5,766,460"
